Lake,Color ,Source,Type,Site,Lagoslakeid,Month,Month_Order,Date,QAQC,Chloro,Phaeo,TP,OP,TN,NH4N,NO2NO3N,ANCmg,ANCaueq,TSS,TSVS,DOC
control drainage,blue,drainage,control,Grouse Lake,3839,july,7,18-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,35.6,711,NA,NA,NA
control isolated,light sky blue,isolated,control,Gypsy Lake,59050,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,13,4.6,92.9,NA,NA,NA
control isolated,light sky blue,isolated,control,Highlife Lake,3550,july,7,18-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,1.9,38.3,NA,NA,NA
control drainage,blue,drainage,control,Kitigan Lake,58010,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,52.5,1049.7,1.3,1.2,NA
burned drainage,red,drainage,sample,Lake Gegoka,113774,july,7,18-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,21.4,427.4,NA,NA,NA
burned isolated,blue,isolated,sample,Lil Chub Lake,66287,july,7,15-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,15.5,309.5,NA,NA,NA
burned drainage,red,drainage,sample,Middle McDougal,27717,july,7,14-Jul-22,NA,NA,NA,NA,NA,NA,NA,4,18.3,364.8,NA,NA,NA
control drainage,blue,drainage,control,Mitawan Lake,21441,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,45.4,906.5,1.3,1.1,NA
burned drainage,red,drainage,sample,North McDougal,38199,july,7,14-Jul-22,NA,NA,NA,NA,NA,NA,NA,63,18.8,376.2,NA,NA,NA
control drainage,blue,drainage,control,Rat Lake,127093,july,7,15-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,40.5,810,NA,NA,NA
burned drainage,red,drainage,sample,Sand Lake,414,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,74,18.5,369.3,2.3,1.6,NA
burned drainage,red,drainage,sample,Slate Lake,430,july,7,14-Jul-22,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
burned drainage,red,drainage,sample,South McDougal,66295,july,7,14-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,15.9,317.8,NA,NA,NA
burned drainage,red,drainage,sample,Stony Lake,50749,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,29,13,259.2,3.6,2.1,NA
burned isolated,blue,isolated,sample,Teamster Lake,29814,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,37.5,750.3,1.3,1.4,NA
control drainage,blue,drainage,control,Two Deer Lake,30871,july,7,15-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,44.6,890.2,NA,NA,NA
burned drainage,red,drainage,sample,Unnamed Lake,15139,july,7,14-Jul-22,NA,NA,NA,NA,NA,NA,NA,68,34.6,692,NA,NA,NA
control drainage,blue,drainage,control,Wadop Lake,102493,july,7,15-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,34.2,684.4,NA,NA,NA
burned isolated,blue,isolated,sample,Wampus Lake,73430,july,7,13-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,55.2,1102.8,NA,NA,NA
burned drainage,red,drainage,sample,West Chub Lake,133329,july,7,15-Jul-22,NA,NA,NA,NA,NA,NA,NA,NA,30.5,609.1,NA,NA,NA
