Site,Month,Date,Chloro_ppb,TP_ppb,TN_ppb,NH4N_ppb,NO2NO3_ppb,ANC_mgCaCO3L,TSS_mgL,DOC_ppm,lagoslakeid,Type,lake_connectivity_class,ConnClass,Group,Month_factor,SecchiDepth_m,zMax_m,ProfileDepth_m,WaterTemp_C,SpecCond_uScm,LDO_mgL,LDO_pct,pH,Lake
Dunnigan Lake,8,8/24/2022,2,9,503,11,0,3.9,2.1,6.8,2867,Control,Isolated,Isolated,Control_Isolated,Aug,3.5,3.5,0,22.52,15.1,8.27,100.5,6.77,Dunnigan 
Dunnigan Lake,9,9/20/2022,6.1,10,612,19,3,3.8,1.8,9.3,2867,Control,Isolated,Isolated,Control_Isolated,Sep,3.5,3.5,0,18.92,14.3,9.13,103.3,8.56,Dunnigan 
Eighteen Lake,5,5/18/2022,1.6,9,665,229,21,26.3,0.9,4.8,37142,Control,Isolated,Isolated,Control_Isolated,May,3.2,5.1,0,12,54.8,10.51,101.8,8.22,Eighteen 
Eighteen Lake,6,6/10/2022,1.9,14,435,11,0,23.7,1.2,5.3,37142,Control,Isolated,Isolated,Control_Isolated,Jun,3.6,3.6,0,18.87,54.1,10.3,117,8.73,Eighteen 
Eighteen Lake,7,7/15/2022,1.2,13,460,13,0,24.4,2,16.6,37142,Control,Isolated,Isolated,Control_Isolated,Jul,3.3,3.7,0,21.95,58.2,108.9,9.02,7.65,Eighteen 
Eighteen Lake,8,8/23/2022,2.1,11,525,9,0,23.9,2.4,5.9,37142,Control,Isolated,Isolated,Control_Isolated,Aug,3,3,0,22.35,54.3,9.5,115.2,8.42,Eighteen 
Eighteen Lake,9,9/19/2022,2.7,10,521,24,5,23.9,2.3,5.6,37142,Control,Isolated,Isolated,Control_Isolated,Sep,3.4,3.4,0,16.33,53,9.13,97.1,7.69,Eighteen 
Fishtrap Lake,6,6/13/2022,1.8,41,876,18,0,5.9,4.8,15.5,51824,Burned,Isolated,Isolated,Burned_Isolated,Jun,1.1,1.8,0,18.51,23,7.9,88.5,6.96,Fishtrap 
Fishtrap Lake,7,7/14/2022,9,29,980,26,23,6,9.6,16.5,51824,Burned,Isolated,Isolated,Burned_Isolated,Jul,1,1.4,0,21.55,26,7.9,95,6.31,Fishtrap 
Fishtrap Lake,8,8/25/2022,19.6,30,1078,28,0,8.8,4.6,18.5,51824,Burned,Isolated,Isolated,Burned_Isolated,Aug,0.7,1.3,0,20.75,26.5,7.5,88.1,6.6,Fishtrap 
Fishtrap Lake,9,9/28/2022,22.7,30,1144,44,13,6,8.7,18.7,51824,Burned,Isolated,Isolated,Burned_Isolated,Sep,0.9,1.5,0,10.24,21.8,10.23,95.6,6.69,Fishtrap 
Flathorn Lake,5,5/20/2022,1.7,16,763,19,33,15.3,1.9,20.1,121215,Control,DrainageLk,Drainage,Control_Drainage,May,1.7,4.5,0,11.04,46.1,8.44,82.2,6.96,Flathorn 
Flathorn Lake,6,6/10/2022,2.2,95,680,17,7,24.1,1.9,18.9,121215,Control,DrainageLk,Drainage,Control_Drainage,Jun,1.1,3.5,0,18.89,68.9,8.25,93.1,7.45,Flathorn 
Flathorn Lake,7,7/13/2022,5.7,24,538,10,20,42.3,2.5,12.1,121215,Control,DrainageLk,Drainage,Control_Drainage,Jul,1.3,1.7,0,20.96,104.2,8.45,100.3,6.29,Flathorn 
Flathorn Lake,8,8/22/2022,4.1,25,1124,19,15,21.8,3,29.7,121215,Control,DrainageLk,Drainage,Control_Drainage,Aug,0.85,3.9,0,19.94,61.1,5.06,58.9,6.5,Flathorn 
Flathorn Lake,9,9/19/2022,9.2,18,644,18,100,42.9,2.4,14.6,121215,Control,DrainageLk,Drainage,Control_Drainage,Sep,1.4,2.6,0,15.4,109.5,7.86,82.6,7.51,Flathorn 
Fourth McDougal,5,5/17/2022,8.7,43,866,12,91,13.2,6.8,18.3,14101,Burned,Headwater,Isolated,Burned_Isolated,May,1.1,8.1,0,15.22,40.8,9.45,98.6,7.83,Fourth McDougal
Fourth McDougal,6,6/7/2022,5.8,31,822,13,0,13.7,2.9,17.1,14101,Burned,Headwater,Isolated,Burned_Isolated,Jun,1.1,7,0,21.28,45.9,10.21,114.9,7.72,Fourth McDougal
Gander Lake,5,5/18/2022,2.9,10,383,7,2,19.4,1.9,6.9,20349,Control,DrainageLk,Drainage,Control_Drainage,May,1.8,1.8,0,14.5,37.5,9.83,100.5,8.32,Gander 
Gander Lake,6,6/9/2022,4.6,15,422,10,0,17.8,2,6.8,20349,Control,DrainageLk,Drainage,Control_Drainage,Jun,1.9,1.9,0,20,45.6,9.7,112,7.37,Gander 
Gander Lake,7,7/14/2022,1.1,12,485,6,6,22.2,4.4,7.3,20349,Control,DrainageLk,Drainage,Control_Drainage,Jul,2,2,0,22.28,52.9,9.01,109.6,7.32,Gander 
Gander Lake,8,8/23/2022,4.9,10,504,10,0,24.7,3.5,7.3,20349,Control,DrainageLk,Drainage,Control_Drainage,Aug,1.75,2.1,0,23.38,53.4,9.16,113.3,8.52,Gander 
Gander Lake,9,9/28/2022,6.4,9,471,14,4,24.4,3.4,7.6,20349,Control,DrainageLk,Drainage,Control_Drainage,Sep,1.7,1.7,0,11.21,50.1,10.32,98.7,7.47,Gander 
Greenwood Lake,5,5/17/2022,2,24,879,10,70,4.8,7.1,24.9,223,Burned,Drainage,Drainage,Burned_Drainage,May,0.8,2,NA,NA,NA,NA,NA,NA,Greenwood 
Greenwood Lake,6,6/9/2022,3.5,31,1016,23,20,5.3,4.1,27.3,223,Burned,Drainage,Drainage,Burned_Drainage,Jun,0.4,1.7,0,18.3,30.6,8.03,85.4,6.22,Greenwood 
Greenwood Lake,7,7/15/2022,6.2,28,921,15,0,7.2,3,28.4,223,Burned,Drainage,Drainage,Burned_Drainage,Jul,0.7,1.4,0,27.46,25.3,8.51,112.2,6.73,Greenwood 
Greenwood Lake,8,8/22/2022,3.5,24,1037,16,0,8.9,4,29.3,223,Burned,Drainage,Drainage,Burned_Drainage,Aug,0.5,1.5,0,23.8,36.9,7.2,89.7,6.17,Greenwood 
Greenwood Lake,9,9/20/2022,1.6,33,1082,53,45,9.7,6.9,33.9,223,Burned,Drainage,Drainage,Burned_Drainage,Sep,0.25,1.5,0,16.6,37.7,8.31,89.4,7.03,Greenwood 
Grouse Lake,5,5/17/2022,1.3,18,732,16,97,10.7,3.8,19.4,3839,Control,DrainageLk,Drainage,Control_Drainage,May,0.8,2.8,0,13.62,37.5,8.71,86.9,8.61,Grouse 
Grouse Lake,6,6/9/2022,5.8,20,706,21,2,20.1,6,19.6,3839,Control,DrainageLk,Drainage,Control_Drainage,Jun,0.7,2.6,0,18.2,62.6,9.33,99.4,7.31,Grouse 
Grouse Lake,7,7/18/2022,2.5,18,509,7,0,35.6,1.9,13.3,3839,Control,DrainageLk,Drainage,Control_Drainage,Jul,2,2.6,0,24.21,69.5,8.91,110.6,8,Grouse 
Grouse Lake,8,8/22/2022,5,24,953,17,3,25.1,2,21.5,3839,Control,DrainageLk,Drainage,Control_Drainage,Aug,0.7,2.6,0,22.84,73.6,7.74,94.6,7.7,Grouse 
Grouse Lake,9,9/19/2022,16.4,23,774,11,0,34.1,2.8,21.3,3839,Control,DrainageLk,Drainage,Control_Drainage,Sep,1.3,2.5,0,16.51,86.8,8.89,95.7,7.69,Grouse 
Gypsy Lake,5,5/16/2022,3.3,21,465,7,39,2.2,2.7,10.6,59050,Control,Isolated,Isolated,Control_Isolated,May,1.1,3.8,0,13.35,55,9.49,94.7,6.43,Gypsy 
Gypsy Lake,6,6/8/2022,3,21,539,23,0,3,2.7,12.3,59050,Control,Isolated,Isolated,Control_Isolated,Jun,1.2,5,0,19.77,58.1,8.92,103,5.74,Gypsy 
Gypsy Lake,7,7/13/2022,1.2,29,591,8,13,4.6,3.6,14,59050,Control,Isolated,Isolated,Control_Isolated,Jul,1.4,4.1,0,25.37,62.1,7.9,101.9,5.85,Gypsy 
Gypsy Lake,8,8/22/2022,4.5,17,536,9,0,2.3,2.5,11.6,59050,Control,Isolated,Isolated,Control_Isolated,Aug,1.6,3.7,0,21.7,60.2,8.98,99.3,5.53,Gypsy 
Gypsy Lake,9,9/26/2022,4.7,17,460,15,2,3,3.3,12.6,59050,Control,Isolated,Isolated,Control_Isolated,Sep,1.2,4.8,0,14.23,60.8,6.71,68.7,5.87,Gypsy 
Highlife Lake,5,5/19/2022,1.9,11,552,29,22,2.6,3.3,8.1,3550,Control,Isolated,Isolated,Control_Isolated,May,2.4,5.5,0,14.07,10.9,9.61,97.3,7.4,Highlife 
Highlife Lake,6,6/8/2022,1.2,66,499,12,1,2,1.2,8.4,3550,Control,Isolated,Isolated,Control_Isolated,Jun,3.1,10,0,20.84,11,8.82,103.6,6.95,Highlife 
Highlife Lake,7,7/18/2022,4.3,11,405,9,0,1.9,1.7,8.7,3550,Control,Isolated,Isolated,Control_Isolated,Jul,2.3,7,0,25.22,8.4,8.28,104.9,6.74,Highlife 
Highlife Lake,8,8/23/2022,2,10,455,10,0,4.8,1.8,8.2,3550,Control,Isolated,Isolated,Control_Isolated,Aug,3,5,0,22.93,11.5,8.06,98.8,6.17,Highlife 
Highlife Lake,9,9/26/2022,5.4,10,418,18,2,2.1,2.3,8.4,3550,Control,Isolated,Isolated,Control_Isolated,Sep,2.3,5.1,0,14.12,11.3,8.67,89.5,6.74,Highlife 
Kitigan Lake,5,5/20/2022,3.1,10,300,8,9,47.8,1.7,4.6,58010,Control,DrainageLk,Drainage,Control_Drainage,May,2.1,2.2,0,12.92,101.1,10.47,106.7,7.92,Kitigan 
Kitigan Lake,6,6/8/2022,1.8,10,333,10,0,47.2,2.1,4.9,58010,Control,DrainageLk,Drainage,Control_Drainage,Jun,1.6,1.6,0,20.32,110.2,10.09,117.2,8.1,Kitigan 
Kitigan Lake,7,7/13/2022,1.7,13,259,9,0,52.5,1.3,4.9,58010,Control,DrainageLk,Drainage,Control_Drainage,Jul,1.2,1.2,0,21.41,116.6,8.92,106.6,7.83,Kitigan 
Kitigan Lake,8,8/22/2022,2.8,11,271,6,0,50,0.9,4.8,58010,Control,DrainageLk,Drainage,Control_Drainage,Aug,2.2,2.2,0,22.44,115.5,10.15,125.9,9.01,Kitigan 
Kitigan Lake,9,9/19/2022,2.2,11,324,18,5,49.6,1.1,6.8,58010,Control,DrainageLk,Drainage,Control_Drainage,Sep,2,2,0,17.05,114,8.77,95.1,8.06,Kitigan 
Lake Gegoka,5,5/17/2022,2.5,20,602,18,34,14.8,5.4,15.8,113774,Burned,Drainage,Drainage,Burned_Drainage,May,1.2,2.4,0,12.87,53.1,8.8,87.1,6.62, Gegoka
Lake Gegoka,6,6/8/2022,3,14,663,12,0,15.8,2.2,20,113774,Burned,Drainage,Drainage,Burned_Drainage,Jun,0.7,2.4,0,19.7,55.8,8.72,96.9,7.12, Gegoka
Lake Gegoka,7,7/18/2022,1.7,24,751,10,0,21.4,2.7,20.5,113774,Burned,Drainage,Drainage,Burned_Drainage,Jul,1,2.4,0,23.85,51.8,8.22,101.6,7.37, Gegoka
Lake Gegoka,8,8/24/2022,14,32,984,15,0,21.5,4.3,29.8,113774,Burned,Drainage,Drainage,Burned_Drainage,Aug,0.5,2.7,0,20.92,64.5,5.94,70,6.61, Gegoka
Lake Gegoka,9,9/20/2022,14.1,35,1215,70,6,24.1,3.3,34.2,113774,Burned,Drainage,Drainage,Burned_Drainage,Sep,0.5,2.5,0,17.64,70.6,6.11,67,8.02, Gegoka
Lil Chub Lake,5,5/23/2022,3.6,22,781,12,0,9,4.5,18.8,66287,Burned,Isolated,Isolated,Burned_Isolated,May,1.2,1.7,0,11.69,25.6,9.12,90.2,6.66,Lil Chub 
Lil Chub Lake,6,6/13/2022,2.1,23,732,9,0,25.5,3.8,21,66287,Burned,Isolated,Isolated,Burned_Isolated,Jun,1.2,1.8,0,18.8,33.1,7.82,88.6,7.13,Lil Chub 
Lil Chub Lake,7,7/15/2022,5.2,20,851,12,0,15.5,4.7,24.2,66287,Burned,Isolated,Isolated,Burned_Isolated,Jul,0.7,1.4,0,26.14,31.5,8.01,102.2,6.9,Lil Chub 
Lil Chub Lake,8,8/25/2022,7,17,849,18,0,16.5,5.5,26.4,66287,Burned,Isolated,Isolated,Burned_Isolated,Aug,0.6,1.2,0,21.09,44.2,6.42,77,6.68,Lil Chub 
Lil Chub Lake,9,9/28/2022,9.9,12,817,21,3,17.5,4.3,26.7,66287,Burned,Isolated,Isolated,Burned_Isolated,Sep,0.6,1.5,0,11.85,40.9,10.01,97,7.02,Lil Chub 
Middle McDougal,5,5/17/2022,NA,40,889,15,89,10,2.1,20.7,27717,Burned,Headwater,Isolated,Burned_Isolated,May,1,2,0,15.08,39.3,NA,90.9,6.38,Middle McDougal
Middle McDougal,6,6/7/2022,3.9,31,836,25,0,14.2,3.9,17.8,27717,Burned,Headwater,Isolated,Burned_Isolated,Jun,0.9,1.4,0,20.18,47.5,8.31,97.1,6.65,Middle McDougal
Middle McDougal,7,7/14/2022,2.9,27,917,36,4,18.3,5.8,15.9,27717,Burned,Headwater,Isolated,Burned_Isolated,Jul,1.25,1.6,0,21.13,39.5,7.53,88.5,7.08,Middle McDougal
Middle McDougal,8,8/24/2022,2.7,17,793,12,0,18.2,3.8,16.7,27717,Burned,Headwater,Isolated,Burned_Isolated,Aug,1.1,1.4,0,21.54,52.5,7.31,87.2,6.69,Middle McDougal
Middle McDougal,9,9/20/2022,2.7,22,850,20,2,21.6,3,20.4,27717,Burned,Headwater,Isolated,Burned_Isolated,Sep,0.75,1.5,0,18.06,56.5,8.07,89.4,7.58,Middle McDougal
Mitawan Lake,5,5/20/2022,5.8,16,407,2,38,51.4,2.1,4.3,21441,Control,Drainage,Drainage,Control_Drainage,May,2.4,6.2,0,11.3,109.7,10.28,100.9,7.63,Mitawan 
Mitawan Lake,6,6/8/2022,1.3,10,214,5,0,48.4,1.5,4.8,21441,Control,Drainage,Drainage,Control_Drainage,Jun,3.4,7.8,0,18.79,113.7,9.85,111.1,7.48,Mitawan 
Mitawan Lake,7,7/13/2022,2.5,11,225,5,0,45.4,1.3,4.6,21441,Control,Drainage,Drainage,Control_Drainage,Jul,3.65,6.1,0,21.1,119.4,8.82,104.5,7.36,Mitawan 
Mitawan Lake,8,8/22/2022,2.7,11,297,6,0,51.2,1.5,4.4,21441,Control,Drainage,Drainage,Control_Drainage,Aug,3.5,7.25,0,22.61,117.2,8.91,109.1,8.7,Mitawan 
Mitawan Lake,9,9/19/2022,6.5,16,390,16,3,50.3,2.1,6.7,21441,Control,Drainage,Drainage,Control_Drainage,Sep,1.9,8,0,17.8,117,8.11,89.6,7.79,Mitawan 
North McDougal,5,5/17/2022,2.6,32,820,12,42,12.1,4.9,25.1,38199,Burned,DrainageLk,Drainage,Burned_Drainage,May,1,3.2,0,15.97,27.1,9.44,99.4,7.96,North McDougal
North McDougal,6,6/7/2022,1.4,22,888,27,17,10.3,3.5,29.3,38199,Burned,DrainageLk,Drainage,Burned_Drainage,Jun,0.9,2.8,0,17.35,34.3,8.5,93.1,6.08,North McDougal
North McDougal,7,7/14/2022,5.4,31,850,18,63,18.8,4.8,25.8,38199,Burned,DrainageLk,Drainage,Burned_Drainage,Jul,0.8,2.8,0,22.9,40.2,7.89,93.9,6.85,North McDougal
North McDougal,8,8/24/2022,5.5,26,1028,20,6,20.5,5.3,31.1,38199,Burned,DrainageLk,Drainage,Burned_Drainage,Aug,0.5,3,0,22.06,56.4,7.17,86.2,6.82,North McDougal
North McDougal,9,9/20/2022,1.4,34,1179,74,52,22.1,4.3,38.8,38199,Burned,DrainageLk,Drainage,Burned_Drainage,Sep,0.5,NA,0,17.32,59.1,7.77,85,7.41,North McDougal
Rat Lake,5,5/20/2022,1.2,17,805,24,36,15.8,2.1,19.7,127093,Control,DrainageLk,Drainage,Control_Drainage,May,1.5,1.6,0,11.51,45.8,8.89,87.5,6.54,Rat 
Rat Lake,6,6/10/2022,4.6,20,683,20,5,23.1,2.9,19.2,127093,Control,DrainageLk,Drainage,Control_Drainage,Jun,1.3,1.5,0,18.62,65.2,7.88,88.2,7.21,Rat 
Rat Lake,7,7/15/2022,1.8,16,459,16,0,40.5,1.4,11.8,127093,Control,DrainageLk,Drainage,Control_Drainage,Jul,1.2,1.2,0,25.59,104.9,7.89,95.2,6.8,Rat 
Rat Lake,8,8/22/2022,3.2,23,1085,27,6,21.2,1.7,28.2,127093,Control,DrainageLk,Drainage,Control_Drainage,Aug,0.68,1.75,0,18.7,61.1,6.78,76.5,6.65,Rat 
Rat Lake,9,9/19/2022,25.1,23,585,14,5,44.5,3.6,13.6,127093,Control,DrainageLk,Drainage,Control_Drainage,Sep,1.5,1.5,0,16.94,110.5,9.12,100.4,7.75,Rat 
Sand Lake,5,5/23/2022,0.8,25,776,22,70,17.3,3.3,18.7,414,Burned,DrainageLk,Drainage,Burned_Drainage,May,1.3,3.9,0,11.72,51.8,8.72,86.4,7.06,Sand 
Sand Lake,6,6/9/2022,1.1,19,738,46,73,16.4,1.2,19.5,414,Burned,DrainageLk,Drainage,Burned_Drainage,Jun,3,4,0,18.78,51.7,8.25,92.9,7.19,Sand 
Sand Lake,7,7/13/2022,2.4,23,704,21,74,18.5,2.3,18.8,414,Burned,DrainageLk,Drainage,Burned_Drainage,Jul,1.25,3.75,0,21.58,43.8,8.02,94.6,6.99,Sand 
Sand Lake,8,8/22/2022,4.3,21,711,10,0,20,2.7,18.5,414,Burned,DrainageLk,Drainage,Burned_Drainage,Aug,1,3.75,0,23.55,58.5,8.6,107.2,9.11,Sand 
Sand Lake,9,9/19/2022,4.6,25,779,31,16,20.8,3.1,22.1,414,Burned,DrainageLk,Drainage,Burned_Drainage,Sep,1,3.4,0,16.74,60.2,7.96,86.2,6.96,Sand 
Slate Lake,5,5/17/2022,5.3,35,822,14,61,8.8,5.2,23.7,430,Burned,DrainageLk,Drainage,Burned_Drainage,May,1,NA,0,18.1,36.7,8.76,97.2,6.97,Slate 
Slate Lake,6,6/7/2022,3.2,30,953,15,1,14,4.4,26.2,430,Burned,DrainageLk,Drainage,Burned_Drainage,Jun,0.75,1.5,0,20.88,49.5,8.61,101.3,7,Slate 
Slate Lake,7,7/14/2022,6,31,816,13,10,30.3,6.5,21.2,430,Burned,DrainageLk,Drainage,Burned_Drainage,Jul,0.8,1.7,0,24.33,58,8.92,110.9,7.53,Slate 
Slate Lake,8,8/22/2022,2.7,28,883,19,4,23.4,3.4,27.6,430,Burned,DrainageLk,Drainage,Burned_Drainage,Aug,0.7,1.9,0,21.79,63,6.46,77.4,6.31,Slate 
Slate Lake,9,9/20/2022,2.3,29,919,48,43,29.7,3.7,25.3,430,Burned,DrainageLk,Drainage,Burned_Drainage,Sep,0.75,NA,0,19.59,76.1,7.71,89.6,7.83,Slate 
South McDougal,5,5/17/2022,3.8,50,895,13,93,8.5,6.9,21.4,66295,Burned,Drainage,Drainage,Burned_Drainage,May,1,2.2,0,15.96,36.4,9.4,99.2,7.29,South McDougal
South McDougal,6,6/7/2022,3.3,33,987,19,0,10.7,3.6,25.4,66295,Burned,Drainage,Drainage,Burned_Drainage,Jun,0.85,1.9,0,20.07,41.4,8.46,98.1,7.02,South McDougal
South McDougal,7,7/14/2022,5.3,42,920,11,0,15.9,6,26,66295,Burned,Drainage,Drainage,Burned_Drainage,Jul,0.6,1.9,0,21.78,39.1,7.91,94.7,7.01,South McDougal
South McDougal,8,8/24/2022,5.8,40,1273,31,0,17.3,6.1,37.6,66295,Burned,Drainage,Drainage,Burned_Drainage,Aug,0.4,2,0,21.08,52.8,5.8,67.8,6.49,South McDougal
South McDougal,9,9/20/2022,2.1,45,1282,60,53,18.1,6.7,38.9,66295,Burned,Drainage,Drainage,Burned_Drainage,Sep,0.5,1.5,0,17.07,53.7,8.24,89.5,8.03,South McDougal
Stony Lake,5,5/20/2022,1.7,36,939,25,58,7.2,3.6,25.1,50749,Burned,DrainageLk,Drainage,Burned_Drainage,May,0.9,1.8,0,12.95,30.3,9.13,92.9,6.87,Stony 
Stony Lake,6,6/9/2022,4.7,39,903,23,14,10.4,3.7,27.7,50749,Burned,DrainageLk,Drainage,Burned_Drainage,Jun,0.8,1,0,19.43,37.4,8.08,92.8,6.77,Stony 
Stony Lake,7,7/13/2022,4.2,43,1022,19,29,13,3.6,28.7,50749,Burned,DrainageLk,Drainage,Burned_Drainage,Jul,0.53,1.5,0,20.52,35.5,5.3,61.3,6.57,Stony 
Stony Lake,8,8/25/2022,1.3,37,1061,36,0,16,3.6,35,50749,Burned,DrainageLk,Drainage,Burned_Drainage,Aug,0.5,1.2,0,18.93,51.7,5.24,59.4,6.43,Stony 
Teamster Lake,5,5/18/2022,1.8,23,537,6,0,23.9,2.3,7.7,29814,Burned,Isolated,Isolated,Burned_Isolated,May,1.4,1.4,0,15.37,112.9,9.33,97.3,7.74,Teamster 
Teamster Lake,6,6/9/2022,1.4,18,547,28,0,30.3,2.8,9.6,29814,Burned,Isolated,Isolated,Burned_Isolated,Jun,1.7,1.7,0,22.08,159.5,6.68,80.4,6.79,Teamster 
Teamster Lake,7,7/13/2022,8,20.9,710,12,0,37.5,1.3,11.5,29814,Burned,Isolated,Isolated,Burned_Isolated,Jul,1.3,1.3,0,23.15,183,6.62,81.9,6.24,Teamster 
Teamster Lake,8,8/22/2022,1.3,15,626,11,0,38.3,1.8,10.3,29814,Burned,Isolated,Isolated,Burned_Isolated,Aug,1.4,1.4,0,24.18,176,8.5,108,7.87,Teamster 
Teamster Lake,9,9/19/2022,1.4,11,562,14,0,44.1,0.5,10.9,29814,Burned,Isolated,Isolated,Burned_Isolated,Sep,1.3,1.3,0,17.41,200.7,8.74,95.7,7.47,Teamster 
Two Deer Lake,5,5/16/2022,0.4,9,276,24,12,40,1.4,4.5,30871,Control,DrainageLk,Drainage,Control_Drainage,May,2.4,2.6,0,13.98,83.7,10.54,106.7,8.2,Two Deer 
Two Deer Lake,6,6/8/2022,0.6,12,317,19,0,41.8,1.5,4.9,30871,Control,DrainageLk,Drainage,Control_Drainage,Jun,NA,2.4,0,20.56,85.6,9.51,110.9,8.23,Two Deer 
Two Deer Lake,7,7/15/2022,6.2,12,383,8,0,44.6,2.1,5.1,30871,Control,DrainageLk,Drainage,Control_Drainage,Jul,1.94,1.94,0,22.68,70.9,9.09,110.4,7.66,Two Deer 
Two Deer Lake,8,8/23/2022,2.5,13,467,13,0,39.9,2.4,6,30871,Control,DrainageLk,Drainage,Control_Drainage,Aug,2.35,2.4,0,23.59,88.5,8.43,104.6,8.06,Two Deer 
Two Deer Lake,9,9/22/2022,2.8,10,413,24,5,43.7,1.7,6.3,30871,Control,DrainageLk,Drainage,Control_Drainage,Sep,2.5,2.5,0,16.23,92.1,9.06,96.9,7.41,Two Deer 
Unnamed Lake,5,5/18/2022,0.3,16,873,17,14,8.1,0.9,28.4,15139,Burned,DrainageLk,Drainage,Burned_Drainage,May,0.8,7.1,0,11.21,25.1,8.13,77.4,6.9,Unnamed 
Unnamed Lake,6,6/9/2022,1.7,26,951,12,11,10.3,3.7,31.8,15139,Burned,DrainageLk,Drainage,Burned_Drainage,Jun,0.5,4.4,0,19.1,38.1,7.9,87.4,6.61,Unnamed 
Unnamed Lake,7,7/14/2022,0.9,26,1038,47,68,34.6,3.3,30.4,15139,Burned,DrainageLk,Drainage,Burned_Drainage,Jul,0.5,8,0,19.8,61.9,6.31,73.2,6.48,Unnamed 
Unnamed Lake,8,8/23/2022,0.9,22,1269,24,25,11.7,2.6,43.4,15139,Burned,DrainageLk,Drainage,Burned_Drainage,Aug,0.5,4.5,0,20.24,48,6.26,72.8,6.23,Unnamed 
