,Date,AirTemp_F,FeelsLike,DewPoint,WindSpeed_mph,WindGust_mph,WindDirection,HourlyRain_inhr,DailyRain_in,Rain24hr_in,RelativePressure_inHg,OutdoorHumidity_pct,AbsolutePressure_inHg
Low Datetime,6/12/2022,2022-06-12T04:16:00-05:00,2022-06-12T04:16:00-05:00,2022-06-12T06:46:00-05:00,2022-06-12T01:01:00-05:00,2022-06-12T01:16:00-05:00,,2022-06-12T01:01:00-05:00,2022-06-12T01:01:00-05:00,2022-06-12T10:01:00-05:00,2022-06-12T16:01:00-05:00,2022-06-12T06:46:00-05:00,2022-06-12T17:46:00-05:00
Average,6/13/2022,56.8,56.8,53.1,1.7,7.7,E,0.01,0.14,0.14,29.83,88,28.12
High,6/13/2022,66.2,66.2,63.8,3.8,15.9,,0.22,0.26,0.26,29.87,98,28.15
High Datetime,6/13/2022,2022-06-14T23:46:00-05:00,2022-06-14T23:46:00-05:00,2022-06-14T23:46:00-05:00,2022-06-13T23:16:00-05:00,2022-06-13T11:31:00-05:00,,2022-06-13T11:16:00-05:00,2022-06-13T14:16:00-05:00,2022-06-13T14:01:00-05:00,2022-06-13T01:01:00-05:00,2022-06-13T10:31:00-05:00,2022-06-13T10:01:00-05:00
Low,6/13/2022,52.3,52.3,33.1,0,1.1,,0,0,0,29.68,45,28.01
Low Datetime,6/13/2022,2022-06-13T08:01:00-05:00,2022-06-13T08:01:00-05:00,2022-06-13T11:31:00-05:00,2022-06-13T03:31:00-05:00,2022-06-13T03:31:00-05:00,,2022-06-13T01:01:00-05:00,2022-06-13T01:01:00-05:00,2022-06-13T01:01:00-05:00,2022-06-14T23:46:00-05:00,2022-06-13T11:31:00-05:00,2022-06-14T23:46:00-05:00
Average,6/14/2022,64.2,64.5,61.2,2.4,9.8,N,0,0,0.12,29.65,90,27.98
High,6/14/2022,74.8,75.7,68.6,4.3,18.8,,0,0,0.26,29.8,99,28.09
High Datetime,6/14/2022,2022-06-14T18:16:00-05:00,2022-06-14T18:16:00-05:00,2022-06-14T18:01:00-05:00,2022-06-14T11:16:00-05:00,2022-06-14T11:01:00-05:00,,2022-06-14T01:01:00-05:00,2022-06-14T01:01:00-05:00,2022-06-14T01:01:00-05:00,2022-06-14T01:01:00-05:00,2022-06-14T04:46:00-05:00,2022-06-14T01:01:00-05:00
Low,6/14/2022,54.9,54.9,53.8,0,2.5,,0,0,0,29.53,79,27.89
Low Datetime,6/14/2022,2022-06-14T01:01:00-05:00,2022-06-14T01:01:00-05:00,2022-06-14T01:01:00-05:00,2022-06-14T23:31:00-05:00,2022-06-14T21:16:00-05:00,,2022-06-14T01:01:00-05:00,2022-06-14T01:01:00-05:00,2022-06-14T14:16:00-05:00,2022-06-14T17:31:00-05:00,2022-06-14T16:01:00-05:00,2022-06-14T17:31:00-05:00
Average,6/15/2022,58.9,58.9,54.4,1.5,5.8,N,0,0.01,0.01,29.73,45,28.03
High,6/15/2022,73.6,72.8,63.3,8.9,19,,0.06,0.04,0.04,29.84,99,28.13
High Datetime,6/15/2022,2022-06-15T15:31:00-05:00,2022-06-15T15:31:00-05:00,2022-06-15T00:46:00-05:00,2022-06-15T17:46:00-05:00,2022-06-15T17:31:00-05:00,,2022-06-15T18:01:00-05:00,2022-06-15T18:16:00-05:00,2022-06-15T18:01:00-05:00,2022-06-15T07:46:00-05:00,2022-06-15T03:01:00-05:00,2022-06-15T07:46:00-05:00
Low,6/15/2022,54,54,12.7,0,0,,0,0,0,29.67,0,27.97
Low Datetime,6/15/2022,2022-06-15T21:46:00-05:00,2022-06-15T21:46:00-05:00,2022-06-15T15:16:00-05:00,2022-06-15T01:46:00-05:00,2022-06-15T02:01:00-05:00,,2022-06-15T01:01:00-05:00,2022-06-15T01:01:00-05:00,2022-06-15T01:01:00-05:00,2022-06-15T15:31:00-05:00,2022-06-15T04:01:00-05:00,2022-06-15T21:01:00-05:00
Average,6/16/2022,62,62,50.3,6.6,17.5,WNW,0.01,0.08,0.11,29.68,54,27.99
High,6/16/2022,69.6,68.6,56.2,12.3,30,,0.41,0.12,0.16,29.92,95,28.21
High Datetime,6/16/2022,2022-06-16T14:46:00-05:00,2022-06-16T14:46:00-05:00,2022-06-16T08:46:00-05:00,2022-06-16T18:31:00-05:00,2022-06-16T18:16:00-05:00,,2022-06-16T07:46:00-05:00,2022-06-16T11:46:00-05:00,2022-06-16T11:31:00-05:00,2022-06-16T23:46:00-05:00,2022-06-16T08:01:00-05:00,2022-06-16T23:46:00-05:00
Low,6/16/2022,56.3,56.3,3.6,0.9,6,,0,0,0.04,29.54,0,27.85
Low Datetime,6/16/2022,2022-06-16T08:01:00-05:00,2022-06-16T08:01:00-05:00,2022-06-16T07:31:00-05:00,2022-06-16T02:16:00-05:00,2022-06-16T02:46:00-05:00,,2022-06-16T01:01:00-05:00,2022-06-16T01:01:00-05:00,2022-06-16T01:01:00-05:00,2022-06-16T04:31:00-05:00,2022-06-16T03:31:00-05:00,2022-06-16T04:31:00-05:00
Average,6/17/2022,61.7,61.2,45.6,2.6,8,N,0,0,0.04,30.09,61,28.38
High,6/17/2022,73.6,72.4,53.6,5.4,16.1,,0,0,0.12,30.29,94,28.51
High Datetime,6/17/2022,2022-06-17T15:31:00-05:00,2022-06-17T15:31:00-05:00,2022-06-17T08:01:00-05:00,2022-06-17T08:31:00-05:00,2022-06-17T08:46:00-05:00,,2022-06-17T01:01:00-05:00,2022-06-17T01:01:00-05:00,2022-06-17T01:01:00-05:00,2022-06-17T23:31:00-05:00,2022-06-17T05:16:00-05:00,2022-06-17T23:16:00-05:00
Low,6/17/2022,43.9,43.9,28,0,0,,0,0,0,29.94,20,28.22
Low Datetime,6/17/2022,2022-06-17T23:46:00-05:00,2022-06-17T23:46:00-05:00,2022-06-17T19:01:00-05:00,2022-06-17T21:16:00-05:00,2022-06-17T21:31:00-05:00,,2022-06-17T01:01:00-05:00,2022-06-17T01:01:00-05:00,2022-06-17T11:46:00-05:00,2022-06-17T01:01:00-05:00,2022-06-17T18:46:00-05:00,2022-06-17T01:01:00-05:00
