lagoslakeid,lake_namegnis,lake_states,lake_depth_state,lake_lat_decdeg,lake_lon_decdeg,lake_maxdepth_m,lake_meandepth_m,lake_waterarea_ha,lake_depth_sourcename,lake_depth_sourceurl,lake_maxdepth_effort,lake_meandepth_effort
3204,NA,WI,WI,43.29071118,-89.66214396,1.524,NA,20.76196553,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3205,NA,MN,MN,47.25975106,-93.40487879,41.99905777,NA,732.7471115,NULL,NULL,bathymetry,NULL
3206,NA,MI,MI,44.7284449,-84.94370064,15.23925632,NA,126.7052285,NULL,NULL,bathymetry,NULL
3208,NA,MN,MN,44.88604067,-93.63260251,10.33250809,NA,43.86769674,NULL,NULL,bathymetry,NULL
3209,NA,MN,MN,45.01696094,-92.94362084,4.415513515,NA,35.28898709,NULL,NULL,bathymetry,NULL
3210,NA,VT,VT,44.59818209,-71.57079979,2.7432,NA,9.72611996,VT_DWQ_NUTRIENT,NULL,LAGOSNE,NULL
3211,NA,VT,VT,43.83152712,-72.23443186,3.3528,NA,17.38494847,VT_DWQ_NUTRIENT,NULL,LAGOSNE,NULL
3212,NA,MN,MN,48.12197687,-90.9911623,19.8,NA,358.4799144,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
3213,NA,MN,MN,47.06918276,-92.00236827,7.6,NA,37.13953804,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
3214,NA,MN,MN,47.15965553,-94.75780803,40.53367615,NA,985.4967747,NULL,NULL,bathymetry,NULL
3215,NA,MN,MN,46.43248911,-95.95126908,14.3,6.23,84.67377018,MN_MPCA_SECCHI,NULL,LAGOSNE,LAGOSNE
3216,NA,MN,MN,45.45309287,-95.34798395,14.91383743,NA,164.7566238,NULL,NULL,bathymetry,NULL
3217,NA,MI,MI,41.92830619,-85.77063609,15.23925632,NA,47.68236163,NULL,NULL,bathymetry,NULL
3218,NA,NJ,NJ,39.63210263,-75.12923612,1.1,NA,16.19485418,NJ_DEP_CHEM,NULL,LAGOSNE,NULL
3219,NA,MN,MN,48.28159034,-92.11594564,16.8,NA,265.6384177,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
3220,NA,MI,MI,44.33008931,-83.66798567,4.571776897,NA,16.66810703,NULL,NULL,bathymetry,NULL
3222,NA,MI,MI,43.82236937,-84.36415451,12.19140506,NA,421.6234289,NULL,NULL,bathymetry,NULL
3223,NA,WI,WI,46.08627321,-89.08335907,16.764,NA,12.84732867,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3225,NA,WI,WI,45.91416494,-89.33599096,3.048,NA,3.26753702,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3226,NA,MN,MN,47.62312551,-91.30475546,4,NA,41.17163462,MN_MPCA_CHEM,NULL,LAGOSNE,NULL
3227,NA,MI,MI,42.56850928,-85.79459186,24.38281012,NA,132.8920629,NULL,NULL,bathymetry,NULL
3228,NA,WI,WI,45.60536993,-92.65412347,2.1336,NA,7.127336481,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3229,NA,MN,MN,47.17728325,-91.88851168,9.143553734,NA,174.8902876,NULL,NULL,bathymetry,NULL
3230,NA,NJ,NJ,39.75724072,-74.885683,1.4,NA,8.478859933,NJ_DEP_CHEM,NULL,LAGOSNE,NULL
3231,NA,WI,WI,45.25730831,-88.74542116,2.4384,NA,15.34842396,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3234,NA,WI,WI,45.61793611,-88.10853819,5.7912,NA,10.18938356,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3235,NA,NJ,NJ,41.06260012,-74.41101212,9.2,NA,113.5308737,NJ_DEP_CHEM,NULL,LAGOSNE,NULL
3236,NA,WI,WI,45.23303732,-88.37312479,7.0104,NA,16.0433524,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3237,NA,WI,WI,45.85675177,-88.39938415,2.4384,NA,63.56916961,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3238,NA,MN,MN,45.70169169,-95.44286963,4.266970634,NA,147.6787976,NULL,NULL,bathymetry,NULL
3239,NA,WI,WI,45.85078636,-89.560772,7.3152,NA,126.9780102,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3240,NA,WI,WI,45.22077527,-88.40388013,9.7536,NA,8.655125755,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3241,NA,MI,MI,46.25622808,-89.41165513,3.048,NA,71.51603338,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
3242,NA,MN,MN,47.92322006,-91.36539951,9.1,NA,43.69812394,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
3244,NA,MN,MN,45.89444464,-95.3743622,9.448235512,NA,54.74402133,NULL,NULL,bathymetry,NULL
3245,NA,NJ,NJ,41.04596986,-74.56257639,2,NA,6.533957349,NJ_DEP_CHEM,NULL,LAGOSNE,NULL
3246,NA,MI,MI,43.26300684,-84.92627948,21.33495885,NA,286.9597168,NULL,NULL,bathymetry,NULL
3247,NA,MN,MN,47.89874684,-90.45856973,12.8,NA,35.63156963,MN_MPCA_CHEM,NULL,LAGOSNE,NULL
3248,NA,IN,IN,41.55495327,-86.54603371,4.9,2.1,107.7968449,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
3250,NA,MI,MI,46.8058722,-87.6978177,9.144,NA,831.7289731,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
3251,NA,MN,MN,45.32013907,-96.35818685,3.778808117,NA,54.52114956,NULL,NULL,bathymetry,NULL
3252,NA,VT,VT,44.24304206,-72.10150039,2.7432,NA,21.50804773,VT_DWQ_NUTRIENT,NULL,LAGOSNE,NULL
3253,NA,OH,OH,39.05559352,-82.69059151,15,NA,65.82615387,NULL,NULL,LAGOSNE,NULL
3254,NA,MI,MI,42.61060865,-83.45609013,3.047851265,NA,68.52877376,NULL,NULL,bathymetry,NULL
3255,NA,WI,WI,46.05703938,-89.43813192,13.1064,NA,254.1724329,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3256,NA,MI,MI,46.10178134,-88.30233377,8.5344,NA,35.13358177,Kendra Cheruvelil-undocumented,NULL,LAGOSNE,NULL
3257,NA,MN,MN,47.10487909,-93.58409405,6.889082909,NA,17.5058352,NULL,NULL,bathymetry,NULL
3258,NA,MI,MI,46.26085584,-87.36606318,7.619628162,NA,110.4992239,NULL,NULL,bathymetry,NULL
3259,NA,WI,WI,46.13682975,-89.60863386,5.1816,NA,27.51268479,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3260,NA,MN,MN,48.0662013,-90.42848716,23.70922661,NA,199.4939759,NULL,NULL,bathymetry,NULL
3262,NA,OH,OH,40.0396328,-81.01411788,12.53,NA,46.30042346,OH_ODW_CHEM,NULL,LAGOSNE,NULL
3264,NA,MN,MN,45.1793558,-92.9685691,1.5,NA,134.1313342,MN_MPCA_CHEM,NULL,LAGOSNE,NULL
3265,NA,WI,WI,45.95838926,-91.39769874,4.8768,NA,14.55575875,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3266,NA,MN,MN,47.82349116,-90.76634853,8.528778076,NA,302.0146812,NULL,NULL,bathymetry,NULL
3267,NA,MA,MA,42.1349465,-72.19403304,3.4,NA,30.50802505,MA_DEP_CHEM,NULL,LAGOSNE,NULL
3268,NA,WI,WI,45.89095024,-89.95996094,6.4008,NA,86.79175136,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3269,NA,IN,IN,41.7491074,-84.84211578,6.7,NA,13.95798236,NLA2012,NULL,NLA,NULL
3270,NA,MI,MI,44.65201889,-85.52236933,13.41054557,NA,153.2108456,NULL,NULL,bathymetry,NULL
3271,NA,IN,IN,39.3118156,-86.356177,6.1,3,3.533810653,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
3272,NA,MI,MI,43.98428463,-86.32357457,4.571776897,NA,48.92686506,NULL,NULL,bathymetry,NULL
3273,NA,MI,MI,44.69018269,-85.70774633,6.09570253,NA,138.6263612,NULL,NULL,bathymetry,NULL
3274,NA,MI,MI,46.16311582,-88.39552649,6.09570253,NA,64.58291994,NULL,NULL,bathymetry,NULL
3275,NA,MN,MN,47.86268937,-90.5236724,1.5,NA,37.15970311,MN_MPCA_CHEM,NULL,LAGOSNE,NULL
3276,NA,MI WI,MI,46.15674532,-89.17803268,7.0104,NA,38.88790715,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3277,NA,MN,MN,47.15701197,-93.67103207,32.00243759,NA,487.7720182,NULL,NULL,bathymetry,NULL
3278,NA,MN,MN,47.4447021,-95.64901895,13.08699512,4.11,234.9972062,NULL,NULL,bathymetry,LAGOSNE
3279,NA,MI,MI,46.18174751,-88.06084235,6.096,NA,96.56246856,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
3280,NA,WI,WI,46.18323433,-89.79873885,19.812,NA,171.075561,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3281,NA,MI,MI,42.57986415,-86.13033423,10.3632,NA,153.2593228,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
3282,NA,NJ,NJ,40.95331653,-74.50234015,2,NA,6.620042189,NJ_DEP_CHEM,NULL,LAGOSNE,NULL
3283,NA,WI,WI,45.32775007,-88.21527336,8.2296,NA,19.40819676,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3284,NA,MI,MI,46.85102095,-88.8705126,4.571776897,NA,40.83195038,NULL,NULL,bathymetry,NULL
3285,NA,MI,MI,44.02500789,-84.54852353,7.619628162,3.048,76.12440386,NULL,NULL,bathymetry,LAGOSNE
